transaction_id,customer_id,product_id,product_name,category,unit_price,quantity,total_amount,discount_percent,transaction_date,payment_method,status,shipping_address_state,device,session_id,revenue,shipping_cost
TXN000001,954,114,Resistance Bands Set,Sports,19.99,1,19.99,0,2025-01-01 14:58:30,Google Pay,Pending,FL,Mobile,SES366415,6.0,11.87
TXN000002,902,117,Portable Charger 20000mAh,Electronics,33.99,1,33.99,15,2025-08-13 14:58:30,Google Pay,Cancelled,TX,Mobile,SES567723,10.2,1.18
TXN000003,173,108,Coffee Maker 12-Cup,Home & Kitchen,89.99,1,89.99,0,2025-09-03 14:58:30,PayPal,Completed,TX,Desktop,SES745764,27.0,3.35
TXN000004,340,117,Portable Charger 20000mAh,Electronics,31.99,1,31.99,20,2023-12-14 14:58:30,Debit Card,Cancelled,AZ,Desktop,SES492905,9.6,12.7
TXN000005,998,113,Air Purifier HEPA,Home & Kitchen,199.99,1,199.99,0,2025-04-30 14:58:30,Credit Card,Refunded,CA,Desktop,SES855898,60.0,3.68
TXN000006,102,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-04-03 14:58:30,PayPal,Cancelled,TX,Desktop,SES702252,12.9,4.52
TXN000007,141,101,Wireless Bluetooth Headphones,Electronics,79.99,2,159.98,0,2024-03-31 14:58:30,Credit Card,Cancelled,TX,Desktop,SES221309,47.99,3.31
TXN000008,123,104,Python Programming Book,Books,45.0,2,90.0,0,2024-06-13 14:58:30,Credit Card,Completed,FL,Mobile,SES502937,27.0,10.5
TXN000009,279,101,Wireless Bluetooth Headphones,Electronics,79.99,1,79.99,0,2024-02-03 14:58:30,Credit Card,Completed,PA,Desktop,SES494910,24.0,14.0
TXN000010,163,113,Air Purifier HEPA,Home & Kitchen,159.99,1,159.99,20,2025-07-05 14:58:30,Apple Pay,Completed,FL,Mobile,SES875208,48.0,4.83
TXN000011,1002,102,Organic Green Tea (50 bags),Groceries,12.49,1,12.49,0,2025-11-22 14:58:30,Debit Card,Completed,MA,Desktop,SES626292,3.75,14.1
TXN000012,56,103,Running Shoes - Nike Air,Sports,116.99,2,233.98,10,2024-05-29 14:58:30,Debit Card,Refunded,MA,Mobile,SES524988,70.19,5.04
TXN000013,553,108,Coffee Maker 12-Cup,Home & Kitchen,89.99,1,89.99,0,2023-12-24 14:58:30,Debit Card,Pending,MA,Mobile,SES805916,27.0,0.8
TXN000014,1008,106,Yoga Mat Premium,Sports,35.99,1,35.99,0,2024-03-29 14:58:30,Credit Card,Completed,WA,Desktop,SES169358,10.8,8.44
TXN000015,367,112,Mechanical Keyboard,Electronics,119.99,1,119.99,0,2024-12-21 14:58:30,Credit Card,Completed,TX,Mobile,SES369869,36.0,13.56
TXN000016,796,114,Resistance Bands Set,Sports,19.99,1,19.99,0,2024-06-22 14:58:30,PayPal,Refunded,TX,Desktop,SES219201,6.0,7.56
TXN000017,840,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2024-09-11 14:58:30,Google Pay,Completed,IL,Tablet,SES559166,60.0,0.48
TXN000018,329,112,Mechanical Keyboard,Electronics,119.99,1,119.99,0,2025-01-02 14:58:30,Apple Pay,Cancelled,WA,Tablet,SES912431,36.0,4.92
TXN000019,222,115,Noise Cancelling Earbuds,Electronics,159.99,2,319.98,20,2025-09-03 14:58:30,Apple Pay,Completed,CA,Mobile,SES895976,95.99,5.84
